trace_id,start_time,end_time,peak_time,max_confidence,phase
N4.M44A.00,2024-07-15T03:05:39.870000Z,2024-07-15T03:05:40.210000Z,2024-07-15T03:05:40.000000Z,0.17457533,S
N4.M44A.00,2024-07-15T07:54:04.180000Z,2024-07-15T07:54:04.610000Z,2024-07-15T07:54:04.390000Z,0.7201979,P
N4.M44A.00,2024-07-15T07:54:05.000000Z,2024-07-15T07:54:05.110000Z,2024-07-15T07:54:05.000000Z,0.13554005,P
N4.M44A.00,2024-07-15T07:54:11.740000Z,2024-07-15T07:54:12.340000Z,2024-07-15T07:54:12.050000Z,0.6167516,S
N4.M44A.00,2024-07-15T18:48:50.740000Z,2024-07-15T18:48:51.250000Z,2024-07-15T18:48:51.000000Z,0.60741305,P
N4.M44A.00,2024-07-15T18:48:54.170000Z,2024-07-15T18:48:54.680000Z,2024-07-15T18:48:54.420000Z,0.62871945,S
