trace_id,start_time,end_time,duration,max_confidence
N4.M44A.00,2024-07-15T07:54:04.310000Z,2024-07-15T07:54:15.380000Z,11.07,0.9997142
N4.M44A.00,2024-07-15T18:48:50.890000Z,2024-07-15T18:48:55.880000Z,4.99,0.9741502
