trace_id,start_time,end_time,peak_time,max_confidence,phase
N4.L42A.00,2024-07-14T12:39:05.000000Z,2024-07-14T12:39:05.260000Z,2024-07-14T12:39:05.080000Z,0.14105676,P
N4.L42A.00,2024-07-14T15:50:52.530000Z,2024-07-14T15:50:52.910000Z,2024-07-14T15:50:52.710000Z,0.81254697,P
N4.L42A.00,2024-07-14T15:50:55.280000Z,2024-07-14T15:50:55.660000Z,2024-07-14T15:50:55.440000Z,0.4121673,S
N4.L42A.00,2024-07-15T07:54:07.820000Z,2024-07-15T07:54:08.610000Z,2024-07-15T07:54:07.980000Z,0.8040977,P
N4.L42A.00,2024-07-15T07:54:18.980000Z,2024-07-15T07:54:19.470000Z,2024-07-15T07:54:19.230000Z,0.6567401,S
N4.L42A.00,2024-07-15T18:49:08.820000Z,2024-07-15T18:49:09.270000Z,2024-07-15T18:49:09.010000Z,0.6377631,P
N4.L42A.00,2024-07-15T18:49:25.950000Z,2024-07-15T18:49:26.510000Z,2024-07-15T18:49:26.230000Z,0.55963963,S
