trace_id,start_time,end_time,duration,event_maxconfidence,P_time,P_maxconfidence,S_time,S_maxconfidence,flag
NW.L44A.00,2024-07-14T04:22:55.770000Z,2024-07-14T04:22:57.190000Z,1.42,0.44545844,,,2024-07-14T04:22:56.830000Z,0.49989262,
NW.L44A.00,2024-07-14T04:23:02.890000Z,2024-07-14T04:23:04.580000Z,1.69,0.68851006,,,2024-07-14T04:23:04.050000Z,0.49939528,
NW.L44A.00,2024-07-14T12:54:23.760000Z,2024-07-14T12:54:27.980000Z,4.22,0.7352359,,,2024-07-14T12:54:26.590000Z,0.53545326,
NW.L44A.00,2024-07-14T12:54:36.460000Z,2024-07-14T12:54:41.700000Z,5.24,0.39585412,,,2024-07-14T12:54:40.110000Z,0.26096624,
NW.L44A.00,2024-07-14T13:01:33.230000Z,2024-07-14T13:01:37.420000Z,4.19,0.90675175,2024-07-14T13:01:33.240000Z,0.5145858526229858,2024-07-14T13:01:36.270000Z,0.7649035,
NW.L44A.00,2024-07-14T13:10:05.000000Z,2024-07-14T13:10:11.820000Z,6.82,0.99249685,,,2024-07-14T13:10:09.380000Z,0.2970456,
NW.L44A.00,2024-07-15T04:07:53.780000Z,2024-07-15T04:07:56.280000Z,2.5,0.74847734,2024-07-15T04:07:53.930000Z,0.6867110729217529,2024-07-15T04:07:55.540000Z,0.74589646,
NW.L44A.00,2024-07-15T07:54:08.680000Z,2024-07-15T07:54:23.660000Z,14.98,0.9999789,2024-07-15T07:54:08.710000Z,0.8253552913665771,2024-07-15T07:54:19.290000Z,0.570982,
