trace_id,start_time,end_time,duration,max_confidence
N4.L42A.00,2024-07-14T15:50:52.810000Z,2024-07-14T15:50:56.010000Z,3.2,0.6691396
N4.L42A.00,2024-07-15T02:50:06.050000Z,2024-07-15T02:50:42.250000Z,36.2,0.40033618
N4.L42A.00,2024-07-15T07:54:08.130000Z,2024-07-15T07:54:23.730000Z,15.6,0.9998566
N4.L42A.00,2024-07-15T18:49:09.170000Z,2024-07-15T18:49:33.190000Z,24.02,0.99948186
