trace_id,start_time,end_time,duration,event_maxconfidence,P_time,P_maxconfidence,S_time,S_maxconfidence,flag
N4.L42A.00,2024-07-14T15:50:52.810000Z,2024-07-14T15:50:56.010000Z,3.2,0.6691396,,,2024-07-14T15:50:55.440000Z,0.4121673107147217,
N4.L42A.00,2024-07-15T02:50:06.050000Z,2024-07-15T02:50:42.250000Z,36.2,0.40033618,,,,,"True, missing P and S arrival"
N4.L42A.00,2024-07-15T07:54:08.130000Z,2024-07-15T07:54:23.730000Z,15.6,0.9998566,,,2024-07-15T07:54:19.230000Z,0.656740128993988,
N4.L42A.00,2024-07-15T18:49:09.170000Z,2024-07-15T18:49:33.190000Z,24.02,0.99948186,,,2024-07-15T18:49:26.230000Z,0.5596396327018738,
