trace_id,start_time,end_time,duration,event_maxconfidence,P_time,P_maxconfidence,S_time,S_maxconfidence,flag
N4.M44A.00,2024-07-15T07:54:04.310000Z,2024-07-15T07:54:15.380000Z,11.07,0.9997142,2024-07-15T07:54:04.390000Z,0.7201979,2024-07-15T07:54:12.050000Z,0.6167516,"True, more than one P or S arrival detected in the event"
N4.M44A.00,2024-07-15T18:48:50.890000Z,2024-07-15T18:48:55.880000Z,4.99,0.9741502,2024-07-15T18:48:51.000000Z,0.60741305,2024-07-15T18:48:54.420000Z,0.62871945,
