trace_id,start_time,end_time,duration,max_confidence
NW.L44A.00,2024-07-14T04:22:55.770000Z,2024-07-14T04:22:57.190000Z,1.42,0.44545844
NW.L44A.00,2024-07-14T04:23:02.890000Z,2024-07-14T04:23:04.580000Z,1.69,0.68851006
NW.L44A.00,2024-07-14T12:54:23.760000Z,2024-07-14T12:54:27.980000Z,4.22,0.7352359
NW.L44A.00,2024-07-14T12:54:36.460000Z,2024-07-14T12:54:41.700000Z,5.24,0.39585412
NW.L44A.00,2024-07-14T13:01:33.230000Z,2024-07-14T13:01:37.420000Z,4.19,0.90675175
NW.L44A.00,2024-07-14T13:10:05.000000Z,2024-07-14T13:10:11.820000Z,6.82,0.99249685
NW.L44A.00,2024-07-15T04:07:53.780000Z,2024-07-15T04:07:56.280000Z,2.5,0.74847734
NW.L44A.00,2024-07-15T07:54:08.680000Z,2024-07-15T07:54:23.660000Z,14.98,0.9999789
